scenario_name,policy_name,decision_count,switch_rate,base_penalty_ms,spike_penalty_ms,spike_probability,n_trials,mean_penalized_latency_ms,mean_penalized_latency_ci_low_ms,mean_penalized_latency_ci_high_ms,mean_penalized_decision_gap_ms,mean_penalized_decision_gap_ci_low_ms,mean_penalized_decision_gap_ci_high_ms,success_rate_under_60ms,success_rate_ci_low,success_rate_ci_high,p95_penalized_latency_ms,cvar95_penalized_latency_ms,mean_spike_event_rate
in_distribution,disagreement_aware_selector,74,0.8108108108108109,10.0,75.0,0.1,256,51.55776467616791,47.60664558833007,55.71475369643817,14.73914831261273,10.788029224774895,18.896137332883004,0.7814611486486486,0.7297297297297297,0.8243243243243243,108.38170966883692,122.96057151490895,0.07970861486486487
temporal_shift,random,28,0.32142857142857145,10.0,75.0,0.1,256,48.813026955988725,46.41696110777443,54.45267539348872,9.943643070954128,7.547577222739842,15.583291508454128,0.8677455357142856,0.8214285714285714,0.8928571428571429,72.00113134230526,90.5600540224057,0.03194754464285714
temporal_shift,best_historical_path,28,0.07142857142857142,10.0,75.0,0.1,256,42.6541950852042,42.18335245127563,44.861923879847055,3.7848112001696106,3.31396856624104,5.992539994812469,0.9252232142857144,0.8928571428571429,0.9285714285714286,59.98044775887115,66.27444685616183,0.006277901785714285
temporal_shift,highest_reply_availability,28,0.75,10.0,75.0,0.1,256,58.97358078306337,53.333932345563376,66.72678948842052,20.104196898028793,14.464548460528794,27.85740560338594,0.6690848214285714,0.5714285714285714,0.7142857142857143,103.56750134474207,120.53164494508015,0.0751953125
temporal_shift,reactive_greedy,28,0.7142857142857143,10.0,75.0,0.1,256,56.09400279499276,50.569449223564185,63.96230636642134,17.224618909958178,11.700065338529607,25.09292248138675,0.763671875,0.6785714285714286,0.8214285714285714,98.94114817611623,115.53764410665215,0.07366071428571427
temporal_shift,predictive_greedy,28,0.5,10.0,75.0,0.1,256,50.62788428093677,46.67280615593677,59.06119901307963,11.758500395902178,7.803422270902179,20.191815128045036,0.8794642857142858,0.7857142857142857,0.9285714285714286,83.7528149724875,102.04207228792714,0.052734374999999986
temporal_shift,predictive_graph_greedy,28,0.4642857142857143,10.0,75.0,0.1,256,48.391571375317,45.053820259245576,54.76364168781701,9.522187490282413,6.184436374210983,15.894257802782413,0.8863002232142858,0.8214285714285714,0.9285714285714286,78.21883539415484,96.60144167457608,0.044503348214285705
temporal_shift,predictive_simple_fusion_greedy,28,0.4642857142857143,10.0,75.0,0.1,256,48.85881153936292,45.25948118222005,55.973766896505765,9.989427654328324,6.390097297185467,17.10438301147118,0.8842075892857142,0.7857142857142857,0.9285714285714286,80.25640695521065,98.71152838055849,0.04799107142857142
temporal_shift,predictive_consensus_greedy,28,0.5,10.0,75.0,0.1,256,49.6697788146048,45.67284801103336,58.06124086817622,10.800394929570203,6.803464125998774,19.19185698314163,0.8793247767857143,0.7857142857142857,0.9285714285714286,82.05650941393134,100.79736699983769,0.0532924107142857
temporal_shift,ensemble_uncertainty_selector,28,0.35714285714285715,10.0,75.0,0.1,256,46.47340857792703,43.94132152435561,51.97703581006989,7.604024692892451,5.07193763932102,13.107651925035308,0.9305245535714285,0.8571428571428571,0.9642857142857143,70.16946250155294,85.7327096286165,0.033761160714285705
temporal_shift,conformal_uncertainty_selector,28,0.35714285714285715,10.0,75.0,0.1,256,47.340339584643175,44.75593668285747,52.791650968571744,8.470955699608599,5.886552797822882,13.922267083537168,0.9298270089285714,0.8571428571428571,0.9642857142857143,70.8747583844174,87.30834479341087,0.03445870535714285
temporal_shift,disagreement_aware_selector,28,0.5,10.0,75.0,0.1,256,49.531392973481175,45.9843784645526,54.02009275026688,10.662009088446585,7.114994579518012,15.1507088652323,0.8522600446428571,0.7857142857142857,0.8928571428571429,83.27893494954253,100.8368010316427,0.04729352678571428
site_holdout,random,119,0.18487394957983194,10.0,75.0,0.1,256,47.154783369474096,45.81303573291948,48.96429623712116,8.83438306224296,7.492635425688338,10.643895929890018,0.7791163340336136,0.759453781512605,0.7899159663865546,76.35038061488679,99.06296466834537,0.017889968487394957
site_holdout,best_historical_path,119,0.008403361344537815,10.0,75.0,0.1,256,43.26932503344365,43.21762466579658,43.847876766636915,4.948924726212482,4.897224358565421,5.527476459405758,0.7563025210084036,0.7563025210084033,0.7563025210084033,73.17832280544093,77.06498355267921,0.0006893382352941176
