scenario_name,stratifier,stratum_level,candidate_count,mean_disagreement_ms,mean_abs_temporal_error_ms,service_failure_rate,spearman_disagreement_error,spearman_p_value
temporal_shift,site,denver,9,6.765921026005951,11.082291464819244,0.0,0.6166666666666666,0.07692880993776312
temporal_shift,site,ottawa,9,6.641468652749912,10.366762297555981,0.0,0.9833333333333333,1.936196303745927e-06
site_holdout,reply_pressure,high,211,3.9886901392147114,5.913969690804607,0.22748815165876776,0.3434690410188935,3.120267958966762e-07
site_holdout,reply_pressure,low,205,4.040941564874918,5.810162714268194,0.23414634146341465,0.19137774930005153,0.005981184542210044
site_holdout,volatility,low,208,3.881239854608531,5.114895414405087,0.14423076923076922,0.24783302128839885,0.00030710800806839366
site_holdout,volatility,high,208,4.14763822314946,6.610734206675451,0.3173076923076923,0.2682066217535325,8.972241075145301e-05
site_holdout,time_of_day,night,178,2.68031354439536,3.5650259259110153,0.0,0.056792587525227964,0.45146350792635376
site_holdout,time_of_day,day,238,5.0122303750894455,7.581329186439459,0.40336134453781514,0.1157550674525411,0.07468784178541842
site_holdout,site,kanazawa,60,3.0572024761204375,3.0712611599354815,0.0,0.14253959433175886,0.2772843887241411
site_holdout,site,lincoln,59,2.11616372062522,3.273938877729921,0.0,0.010695499707773233,0.9359205704248476
site_holdout,site,ulukhaktok,238,5.0122303750894455,7.581329186439459,0.40336134453781514,0.1157550674525411,0.07468784178541842
site_holdout,site,victoria_hp1_proto2,59,2.8611864884450817,4.358246634406211,0.0,0.05213325540619521,0.6949532490171214
operational_mild,reply_pressure,low,81,4.951377796239981,12.991862355540235,0.13580246913580246,0.4468157181571815,2.8969134898438296e-05
operational_mild,reply_pressure,high,81,8.198978601176306,14.7977825682978,0.13580246913580246,0.7191734417344173,3.967186558547937e-14
operational_mild,volatility,high,81,7.787089669775295,20.137162092964807,0.2345679012345679,0.43346883468834685,5.2934182707866006e-05
operational_mild,volatility,low,81,5.363266727640991,7.652482830873227,0.037037037037037035,0.7095980126467931,1.2117081781750274e-13
operational_mild,time_of_day,night,81,6.702777412754226,12.541017889967465,0.024691358024691357,0.6503387533875339,5.0094345311542584e-11
operational_mild,time_of_day,day,81,6.44757898466206,15.24862703387057,0.24691358024691357,0.5387985546522132,2.115562783965269e-07
operational_mild,site,brisbane,9,6.917862107479676,11.548709090990664,0.0,0.75,0.01994212613199253
operational_mild,site,bruhl,9,6.009569126919006,10.878771965845242,0.0,0.6333333333333333,0.06708578689234572
operational_mild,site,kanazawa,9,6.071695899383384,8.557192973543989,0.0,0.9500000000000001,8.762523965086185e-05
operational_mild,site,lincoln,9,5.901192680916716,8.234606955072275,0.0,0.7999999999999999,0.009627924725379839
operational_mild,site,manila,9,6.21840164415375,12.989448506657531,0.0,0.8333333333333333,0.005265691029161747
operational_mild,site,minneapolis,9,7.558027822550987,14.24603248010648,0.0,0.33333333333333337,0.38071318167686347
operational_mild,site,seattle,9,6.404676693687886,15.17431163160718,0.0,0.6166666666666666,0.07692880993776312
operational_mild,site,slc,9,6.676919937145107,12.610148971227602,0.0,0.9,0.0009430623223403288
operational_mild,site,ulukhaktok,36,5.179477450202007,11.872223492618543,0.3055555555555556,0.33590733590733596,0.04518397391301821
operational_mild,site,victoria,9,6.832714689408426,13.470962631975656,0.0,0.35,0.35581957250178897
operational_mild,site,victoria_hp1_proto2,9,7.125303228857471,14.491362504124728,0.0,0.7166666666666667,0.02981803569584528
operational_mild,site,zambia,9,10.30287094647762,32.5188056252136,0.7777777777777778,0.4666666666666666,0.2053863511058121
operational_mild,site,dallas,9,7.70743183968615,16.45603459965504,0.2222222222222222,0.18333333333333335,0.6368198117628943
operational_mild,site,denver,9,7.011217310743127,16.41361133763368,0.1111111111111111,0.5,0.1704706607870538
operational_mild,site,ottawa,9,6.897413848529242,15.027911070414468,0.1111111111111111,0.5333333333333333,0.13922686754397814
operational_moderate,reply_pressure,low,81,5.231232351700434,23.43535677582326,0.48148148148148145,0.1211156278229449,0.2814493510681503
operational_moderate,reply_pressure,high,81,8.581175266225559,22.705636365605848,0.38271604938271603,0.6156052393857271,9.594252036181662e-10
operational_moderate,volatility,high,81,7.861077874621526,36.055428408475414,0.7901234567901234,0.4093947606142728,0.00014762276597344876
operational_moderate,volatility,low,81,5.951329743304468,10.085564732953685,0.07407407407407407,0.36316621499548324,0.0008614992107337353
operational_moderate,time_of_day,night,81,7.15642911835918,20.506336917734835,0.2962962962962963,0.43453026196928635,5.050262673283446e-05
operational_moderate,time_of_day,day,81,6.655978499566814,25.634656223694268,0.5679012345679012,0.3510162601626017,0.0013138714366884357
operational_moderate,site,brisbane,9,7.389418060567753,17.17107639582303,0.2222222222222222,0.48333333333333334,0.18746985521554216
operational_moderate,site,bruhl,9,6.396761868212201,20.37029071423115,0.3333333333333333,0.5166666666666667,0.15439012098622507
operational_moderate,site,kanazawa,9,7.0455017640682245,14.612740420834529,0.0,0.4666666666666666,0.2053863511058121
operational_moderate,site,lincoln,9,7.4155362153679665,20.04250957254656,0.1111111111111111,0.35,0.35581957250178897
operational_moderate,site,manila,9,7.1047607933708905,26.746743965692524,0.5555555555555556,0.21666666666666667,0.5755148957119259
operational_moderate,site,minneapolis,9,7.619462089710295,17.34782534520812,0.2222222222222222,0.41666666666666663,0.26458604674749636
operational_moderate,site,seattle,9,6.734110411772438,22.496020588380574,0.2222222222222222,0.8499999999999999,0.0037047773275858125
operational_moderate,site,slc,9,6.694844777303337,29.02939242332298,0.5555555555555556,0.3,0.43284532670948234
