comparison_name,metric_name,sample_count,mean_delta,median_delta,ci_lower,ci_upper,statistic,p_value,holm_adjusted_p_value,effect_size_dz,win_rate,loss_rate,scenario_name
risk_adjusted_vs_ensemble_uncertainty,cumulative_decision_gap_5_ms,68,0.004977501433382055,0.0,-0.7294103910103047,0.8825311759132721,6.0,0.6858304344516057,1.0,0.001427028511930716,0.04411764705882353,0.029411764705882353,in_distribution
risk_adjusted_vs_conformal_uncertainty,realized_next_latency_ms,74,-0.4444755094487157,0.0,-0.8132865183640292,-0.11653611178207282,14.0,0.015653550837455003,0.10957485586218502,-0.28520677993052684,0.14864864864864866,0.04054054054054054,in_distribution
risk_adjusted_vs_conformal_uncertainty,decision_gap_ms,74,-0.4444755094487157,0.0,-0.8132865183640292,-0.11653611178207282,14.0,0.015653550837455003,0.10957485586218502,-0.28520677993052684,0.14864864864864866,0.04054054054054054,in_distribution
risk_adjusted_vs_conformal_uncertainty,success_under_budget,74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,in_distribution
risk_adjusted_vs_conformal_uncertainty,realized_cumulative_latency_3_ms,72,-1.7770273299320922,0.0,-3.265853954067928,-0.6539612237055982,7.0,0.004285695299481487,0.02999986709637041,-0.31576344405995105,0.1527777777777778,0.041666666666666664,in_distribution
risk_adjusted_vs_conformal_uncertainty,cumulative_decision_gap_3_ms,72,-1.7770273299320922,0.0,-3.265853954067928,-0.6539612237055982,7.0,0.004285695299481487,0.02999986709637041,-0.31576344405995105,0.1527777777777778,0.041666666666666664,in_distribution
risk_adjusted_vs_conformal_uncertainty,realized_cumulative_latency_5_ms,68,-1.2294178610512674,0.0,-2.9966548731286236,0.5022163250036268,21.0,0.15793931050013033,0.947635863000782,-0.1691586216159409,0.14705882352941177,0.029411764705882353,in_distribution
risk_adjusted_vs_conformal_uncertainty,cumulative_decision_gap_5_ms,68,-1.2294178610512674,0.0,-2.9966548731286236,0.5022163250036268,21.0,0.15793931050013033,0.947635863000782,-0.1691586216159409,0.14705882352941177,0.029411764705882353,in_distribution
risk_adjusted_vs_historical,realized_next_latency_ms,74,-0.1955846157755082,0.0,-0.5817816032369031,0.12011777843532111,25.0,0.47690655496758394,1.0,-0.12292477574341817,0.08108108108108109,0.06756756756756757,in_distribution
risk_adjusted_vs_historical,decision_gap_ms,74,-0.1955846157755082,0.0,-0.5817816032369031,0.12011777843532111,25.0,0.47690655496758394,1.0,-0.12292477574341817,0.08108108108108109,0.06756756756756757,in_distribution
risk_adjusted_vs_historical,success_under_budget,74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,in_distribution
risk_adjusted_vs_historical,realized_cumulative_latency_3_ms,72,-0.43930546578389873,0.0,-1.0295918486343787,0.02512174278008925,12.0,0.11412832776223866,0.6847699665734319,-0.1915803474190887,0.08333333333333333,0.05555555555555555,in_distribution
risk_adjusted_vs_historical,cumulative_decision_gap_3_ms,72,-0.43930546578389873,0.0,-1.0295918486343787,0.02512174278008925,12.0,0.11412832776223866,0.6847699665734319,-0.1915803474190887,0.08333333333333333,0.05555555555555555,in_distribution
risk_adjusted_vs_historical,realized_cumulative_latency_5_ms,68,1.0274497461393484,0.0,0.038663621807242095,2.331114098690234,9.0,0.10974463874701328,0.768212471229093,0.21055280527146317,0.04411764705882353,0.08823529411764706,in_distribution
risk_adjusted_vs_historical,cumulative_decision_gap_5_ms,68,1.0274497461393484,0.0,0.038663621807242095,2.331114098690234,9.0,0.10974463874701328,0.768212471229093,0.21055280527146317,0.04411764705882353,0.08823529411764706,in_distribution
graph_vs_temporal,realized_next_latency_ms,74,-0.13895722982709557,0.0,-0.5095869795306531,0.13574360178053288,12.0,0.7353166906373405,1.0,-0.09312979729796231,0.04054054054054054,0.05405405405405406,in_distribution
graph_vs_temporal,decision_gap_ms,74,-0.13895722982709557,0.0,-0.5095869795306531,0.13574360178053288,12.0,0.7353166906373405,1.0,-0.09312979729796231,0.04054054054054054,0.05405405405405406,in_distribution
graph_vs_temporal,success_under_budget,74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,in_distribution
graph_vs_temporal,realized_cumulative_latency_3_ms,72,-0.1315969248117249,0.0,-0.5341870690808556,0.20911000469446797,10.0,0.49896229860376107,1.0,-0.0799261781567794,0.041666666666666664,0.05555555555555555,in_distribution
graph_vs_temporal,cumulative_decision_gap_3_ms,72,-0.1315969248117249,0.0,-0.5341870690808556,0.20911000469446797,10.0,0.49896229860376107,1.0,-0.0799261781567794,0.041666666666666664,0.05555555555555555,in_distribution
graph_vs_temporal,realized_cumulative_latency_5_ms,68,0.3817822855551962,0.0,-0.4653193788329195,1.3886186567691863,7.0,0.463071015014588,1.0,0.09660513084265832,0.029411764705882353,0.058823529411764705,in_distribution
graph_vs_temporal,cumulative_decision_gap_5_ms,68,0.3817822855551962,0.0,-0.4653193788329195,1.3886186567691863,7.0,0.463071015014588,1.0,0.09660513084265832,0.029411764705882353,0.058823529411764705,in_distribution
risk_adjusted_vs_temporal,realized_next_latency_ms,28,-0.6884276913841667,0.0,-2.4636516804364073,1.2294537491338757,6.0,0.3454475304692257,1.0,-0.1369187824012465,0.17857142857142858,0.03571428571428571,temporal_shift
risk_adjusted_vs_temporal,decision_gap_ms,28,-0.6884276913841667,0.0,-2.4636516804364073,1.2294537491338757,6.0,0.3454475304692257,1.0,-0.1369187824012465,0.17857142857142858,0.03571428571428571,temporal_shift
risk_adjusted_vs_temporal,success_under_budget,28,-0.03571428571428571,0.0,-0.10714285714285714,0.0,0.0,0.31731050786291415,1.0,-0.18898223650461357,0.03571428571428571,0.0,temporal_shift
risk_adjusted_vs_temporal,realized_cumulative_latency_3_ms,23,0.7048388400407819,0.0,-0.15269392012898764,2.153543616158388,1.0,0.28504940740261275,1.0,0.23636272561514032,0.043478260869565216,0.08695652173913043,temporal_shift
risk_adjusted_vs_temporal,cumulative_decision_gap_3_ms,23,0.7048388400407819,0.0,-0.15269392012898764,2.153543616158388,1.0,0.28504940740261275,1.0,0.23636272561514032,0.043478260869565216,0.08695652173913043,temporal_shift
risk_adjusted_vs_temporal,realized_cumulative_latency_5_ms,20,0.5222127545734594,0.0,-3.7785158952868185,5.629279619106157,3.0,1.0,1.0,0.04939455152924513,0.1,0.05,temporal_shift
risk_adjusted_vs_temporal,cumulative_decision_gap_5_ms,20,0.5222127545734594,0.0,-3.7785158952868185,5.629279619106157,3.0,1.0,1.0,0.04939455152924513,0.1,0.05,temporal_shift
risk_adjusted_vs_graph,realized_next_latency_ms,28,0.5734153481641721,0.0,-0.2844061908941118,2.034407387492783,4.0,0.7150006546880893,1.0,0.16092413268451,0.07142857142857142,0.07142857142857142,temporal_shift
risk_adjusted_vs_graph,decision_gap_ms,28,0.5734153481641721,0.0,-0.2844061908941118,2.034407387492783,4.0,0.7150006546880893,1.0,0.16092413268451,0.07142857142857142,0.07142857142857142,temporal_shift
risk_adjusted_vs_graph,success_under_budget,28,-0.03571428571428571,0.0,-0.10714285714285714,0.0,0.0,0.31731050786291415,1.0,-0.18898223650461357,0.03571428571428571,0.0,temporal_shift
risk_adjusted_vs_graph,realized_cumulative_latency_3_ms,23,0.1391528915343761,0.0,-0.3772168176517635,0.707788868675136,4.0,0.7150006546880893,1.0,0.10133086008833107,0.08695652173913043,0.08695652173913043,temporal_shift
risk_adjusted_vs_graph,cumulative_decision_gap_3_ms,23,0.1391528915343761,0.0,-0.3772168176517635,0.707788868675136,4.0,0.7150006546880893,1.0,0.10133086008833107,0.08695652173913043,0.08695652173913043,temporal_shift
risk_adjusted_vs_graph,realized_cumulative_latency_5_ms,19,2.6782105438874377,0.0,0.0,7.431300062934565,0.0,0.17971249487899976,1.0,0.2886801835394095,0.0,0.10526315789473684,temporal_shift
risk_adjusted_vs_graph,cumulative_decision_gap_5_ms,19,2.6782105438874377,0.0,0.0,7.431300062934565,0.0,0.17971249487899976,1.0,0.2886801835394095,0.0,0.10526315789473684,temporal_shift
risk_adjusted_vs_fusion,realized_next_latency_ms,28,0.367754425189689,0.0,-0.8203399596684098,1.998982161713035,4.0,0.7150006546880893,1.0,0.0944499761522229,0.07142857142857142,0.07142857142857142,temporal_shift
risk_adjusted_vs_fusion,decision_gap_ms,28,0.367754425189689,0.0,-0.8203399596684098,1.998982161713035,4.0,0.7150006546880893,1.0,0.0944499761522229,0.07142857142857142,0.07142857142857142,temporal_shift
risk_adjusted_vs_fusion,success_under_budget,28,-0.03571428571428571,0.0,-0.10714285714285714,0.0,0.0,0.31731050786291415,1.0,-0.18898223650461357,0.03571428571428571,0.0,temporal_shift
risk_adjusted_vs_fusion,realized_cumulative_latency_3_ms,23,0.7434640441314094,0.0,-0.07544351194773244,2.153543616158388,1.0,0.28504940740261275,1.0,0.2516528692691288,0.043478260869565216,0.08695652173913043,temporal_shift
risk_adjusted_vs_fusion,cumulative_decision_gap_3_ms,23,0.7434640441314094,0.0,-0.07544351194773244,2.153543616158388,1.0,0.28504940740261275,1.0,0.2516528692691288,0.043478260869565216,0.08695652173913043,temporal_shift
risk_adjusted_vs_fusion,realized_cumulative_latency_5_ms,20,1.6870095663027456,0.0,-0.8523763802968801,5.913405079205117,1.0,0.6547208460185769,1.0,0.1880254933893301,0.05,0.05,temporal_shift
risk_adjusted_vs_fusion,cumulative_decision_gap_5_ms,20,1.6870095663027456,0.0,-0.8523763802968801,5.913405079205117,1.0,0.6547208460185769,1.0,0.1880254933893301,0.05,0.05,temporal_shift
risk_adjusted_vs_ensemble_uncertainty,realized_next_latency_ms,28,0.6144855116255638,0.0,-0.4406818897630486,2.15902102691024,7.0,0.463071015014588,1.0,0.16409803101047973,0.07142857142857142,0.14285714285714285,temporal_shift
risk_adjusted_vs_ensemble_uncertainty,decision_gap_ms,28,0.6144855116255638,0.0,-0.4406818897630486,2.15902102691024,7.0,0.463071015014588,1.0,0.16409803101047973,0.07142857142857142,0.14285714285714285,temporal_shift
