scenario_name,policy_name,switch_penalty_ms,decision_count,switch_rate,mean_penalized_latency_ms,mean_penalized_decision_gap_ms,success_rate_under_60ms,p95_penalized_latency_ms,cvar95_penalized_latency_ms
temporal_shift,reactive_greedy,10.0,28,0.7142857142857143,50.569449223564185,11.700065338529607,0.8214285714285714,68.91479435449418,75.56376735810568
temporal_shift,reactive_greedy,20.0,28,0.7142857142857143,57.71230636642132,18.842922481386747,0.5714285714285714,78.91479435449418,85.56376735810568
temporal_shift,predictive_greedy,5.0,28,0.5,44.17280615593677,5.303422270902179,0.9285714285714286,58.62383113871015,62.291004560167565
temporal_shift,predictive_greedy,10.0,28,0.5,46.67280615593677,7.803422270902179,0.9285714285714286,60.32420566966701,64.79100456016756
temporal_shift,predictive_greedy,20.0,28,0.5,51.67280615593677,12.803422270902178,0.75,69.14243578543241,74.43480002570008
temporal_shift,predictive_graph_greedy,5.0,28,0.4642857142857143,42.73239168781699,3.863007802782412,0.9285714285714286,58.62383113871015,62.291004560167565
temporal_shift,predictive_graph_greedy,10.0,28,0.4642857142857143,45.053820259245576,6.184436374210983,0.9285714285714286,59.60550168024013,64.79100456016756
temporal_shift,predictive_graph_greedy,20.0,28,0.4642857142857143,49.696677402102715,10.827293517068126,0.75,67.79770271502096,73.40808004080455
temporal_shift,predictive_simple_fusion_greedy,5.0,28,0.4642857142857143,42.93805261079148,4.068668725756895,0.9285714285714286,58.62383113871015,62.291004560167565
temporal_shift,predictive_simple_fusion_greedy,10.0,28,0.4642857142857143,45.25948118222005,6.390097297185467,0.9285714285714286,59.60550168024013,64.79100456016756
temporal_shift,predictive_simple_fusion_greedy,20.0,28,0.4642857142857143,49.902338325077196,11.03295444004261,0.75,67.79770271502096,73.40808004080455
temporal_shift,predictive_consensus_greedy,5.0,28,0.5,43.17284801103336,4.303464125998774,0.9285714285714286,58.62383113871015,62.291004560167565
temporal_shift,predictive_consensus_greedy,10.0,28,0.5,45.67284801103336,6.803464125998774,0.9285714285714286,59.60550168024013,64.79100456016756
temporal_shift,predictive_consensus_greedy,20.0,28,0.5,50.67284801103336,11.803464125998774,0.75,67.79770271502096,73.40808004080455
