policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,switch_rate,scenario_name
predictive_greedy,28,41.67280615593676,2.803422270902179,0.5,0.9642857142857143,57.606523569995474,59.791004560167565,278.55357142857144,0.5,temporal_shift
predictive_graph_greedy,28,40.41096311638842,1.5415792313538408,0.6428571428571429,0.9642857142857143,57.606523569995474,59.791004560167565,342.3124285714287,0.4642857142857143,temporal_shift
predictive_simple_fusion_greedy,28,40.61662403936291,1.7472401543283236,0.6428571428571429,0.9642857142857143,57.606523569995474,59.791004560167565,378.93467857142866,0.4642857142857143,temporal_shift
predictive_consensus_greedy,28,40.67284801103336,1.8034641259987743,0.6071428571428571,0.9642857142857143,57.606523569995474,59.791004560167565,261.6086071428571,0.5,temporal_shift
ensemble_uncertainty_selector,28,40.36989295292704,1.5005090678924486,0.6428571428571429,0.9642857142857143,57.07585033961099,59.38279438294873,295.14725,0.35714285714285715,temporal_shift
conformal_uncertainty_selector,28,41.1845081114289,2.3151242263943104,0.5,0.9642857142857143,57.07585033961099,59.38279438294873,294.54325,0.35714285714285715,temporal_shift
disagreement_aware_selector,28,40.9843784645526,2.1149945795180125,0.6071428571428571,0.9285714285714286,60.025767845255565,63.40786537439175,403.18003571428574,0.5,temporal_shift
random,119,43.96429623712116,5.643895929890019,0.4789915966386555,0.8319327731092437,72.1585947114305,77.66709456020388,321.8927394957983,0.18487394957983194,site_holdout
best_historical_path,119,43.1335910523512,4.8131907451200435,0.3445378151260504,0.7563025210084033,72.77792008346441,75.90312118170614,247.36272268907564,0.008403361344537815,site_holdout
highest_reply_availability,119,42.85621665138197,4.535816344150826,0.40336134453781514,0.8151260504201681,72.10028798300142,76.98026720264768,302.21076470588235,0.5042016806722689,site_holdout
reactive_greedy,119,41.925901517975596,3.6055012107444404,0.44537815126050423,0.8403361344537815,71.26037254901959,74.81031103835214,366.7997647058824,0.5714285714285714,site_holdout
predictive_greedy,119,39.940607116179415,1.6202068089482735,0.6134453781512605,0.8907563025210085,68.86153368478764,73.5084370275444,263.1317058823529,0.3277310924369748,site_holdout
predictive_graph_greedy,119,40.74036673457865,2.4199664273474992,0.5798319327731093,0.8571428571428571,71.03966278807214,76.74854654601229,258.6656554621849,0.42016806722689076,site_holdout
predictive_simple_fusion_greedy,119,39.89974119326517,1.5793408860340294,0.6134453781512605,0.8907563025210085,67.06941781790769,72.47098014667351,251.49646218487396,0.31092436974789917,site_holdout
predictive_consensus_greedy,119,40.00469288466277,1.6842925774316257,0.6218487394957983,0.8907563025210085,68.86153368478764,73.5084370275444,253.4180924369748,0.29411764705882354,site_holdout
ensemble_uncertainty_selector,119,39.761187718313536,1.4407874110823997,0.6218487394957983,0.8991596638655462,68.86153368478764,73.5084370275444,252.72515966386555,0.33613445378151263,site_holdout
conformal_uncertainty_selector,119,40.140388127207,1.8199878199758484,0.6302521008403361,0.8739495798319328,68.86153368478764,73.5084370275444,257.0683193277311,0.37815126050420167,site_holdout
disagreement_aware_selector,119,39.796049499024036,1.4756491917928978,0.6218487394957983,0.8991596638655462,68.86153368478764,73.5084370275444,263.42116806722686,0.2773109243697479,site_holdout
random,28,49.94947278117241,8.540261846347628,0.32142857142857145,0.75,66.87940067505481,70.47012764682077,271.90624999999994,0.32142857142857145,operational_mild
best_historical_path,28,46.28249149281792,4.873280557993128,0.35714285714285715,0.8214285714285714,66.87940067505481,70.47012764682077,290.39875,0.07142857142857142,operational_mild
highest_reply_availability,28,46.05391815230131,4.644707217476524,0.4642857142857143,0.8928571428571429,64.25816033357098,67.37094853616422,299.24264285714287,0.6785714285714286,operational_mild
