policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,switch_rate,mean_end_to_end_latency_ms,p95_end_to_end_latency_ms,control_loop_latency_ms,stale_decision_rate,mean_feasible_candidate_count,no_feasible_candidate_rate,scenario_name
calibrated_operational_selector,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,324.41145378151265,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
switch_aware_operational_selector,119,44.84508452403377,0.0,1.0,0.7563025210084033,72.77792008346441,75.90312118170614,466.2829663865547,0.008403361344537815,44.84508452403377,72.77792008346441,0.0,0.0,1.504201680672269,0.0,session_holdout
random,28,45.43303253634586,6.56364865131127,0.4642857142857143,0.9285714285714286,59.74002072120238,84.91177442189712,804.5923214285714,0.32142857142857145,45.43303253634586,59.74002072120238,0.0,0.0,4.821428571428571,0.0,temporal_holdout
best_historical_path,28,41.30570030515868,2.4363164201240943,0.5,0.9642857142857143,57.07585033961099,59.38279438294873,3264.9806428571433,0.07142857142857142,41.30570030515868,57.07585033961099,0.0,0.0,4.821428571428571,0.0,temporal_holdout
highest_reply_availability,28,47.65353390932018,8.784150024285596,0.21428571428571427,0.8571428571428571,67.7095785255167,88.8748575836696,696.326107142857,0.6785714285714286,47.65353390932018,67.7095785255167,0.0,0.0,4.821428571428571,0.0,temporal_holdout
reactive_greedy,28,43.426592080707046,4.5572081956724615,0.32142857142857145,0.8928571428571429,61.9088248020949,65.56376735810568,441.18746428571427,0.7142857142857143,43.426592080707046,61.9088248020949,0.0,0.0,4.821428571428571,0.0,temporal_holdout
predictive_greedy,28,41.8903474758025,3.02096359076791,0.42857142857142855,0.9285714285714286,60.025767845255565,61.60068419633321,382.5907857142857,0.5357142857142857,41.8903474758025,60.025767845255565,0.0,0.0,4.821428571428571,0.0,temporal_holdout
predictive_graph_greedy,28,43.086725737133634,4.217341852099047,0.35714285714285715,0.8928571428571429,61.9088248020949,65.56376735810568,384.6265714285714,0.6428571428571429,43.086725737133634,61.9088248020949,0.0,0.0,4.821428571428571,0.0,temporal_holdout
predictive_simple_fusion_greedy,28,43.01230253537686,4.142918650342278,0.35714285714285715,0.8928571428571429,61.9088248020949,65.56376735810568,403.4016785714286,0.6428571428571429,43.01230253537686,61.9088248020949,0.0,0.0,4.821428571428571,0.0,temporal_holdout
predictive_consensus_greedy,28,43.023093573822784,4.153709688788203,0.35714285714285715,0.8928571428571429,61.9088248020949,65.56376735810568,377.35564285714287,0.7142857142857143,43.023093573822784,61.9088248020949,0.0,0.0,4.821428571428571,0.0,temporal_holdout
