comparison_name,metric_name,sample_count,mean_delta,median_delta,ci_lower,ci_upper,statistic,p_value,holm_adjusted_p_value,effect_size_dz,win_rate,loss_rate,block_bootstrap_p_value,scenario_name
switch_aware_vs_operational,cumulative_decision_gap_5_ms,19,-3.6102322824160518,0.0,-8.257181640925285,-0.06826183673077342,0.0,0.06788915486182899,0.3778743072867313,-0.34438213681808083,0.21052631578947367,0.0,0.05647176411794103,temporal_holdout
graph_vs_temporal,realized_next_latency_ms,28,1.196378261331136,0.0,-0.22930046409643126,3.162239826290891,10.0,0.2626182904425206,1.0,0.23702603881181428,0.07142857142857142,0.21428571428571427,0.17341329335332334,temporal_holdout
graph_vs_temporal,decision_gap_ms,28,1.196378261331136,0.0,-0.22930046409643126,3.162239826290891,10.0,0.2626182904425206,1.0,0.23702603881181428,0.07142857142857142,0.21428571428571427,0.17341329335332334,temporal_holdout
graph_vs_temporal,success_under_budget,28,-0.03571428571428571,0.0,-0.10714285714285714,0.0,0.0,0.31731050786291415,1.0,-0.18898223650461357,0.03571428571428571,0.0,0.6151924037981009,temporal_holdout
graph_vs_temporal,realized_cumulative_latency_3_ms,23,1.9622823946408388,0.0,0.32815407640811084,3.588878611605681,2.0,0.07473549830588248,0.37367749152941243,0.3872660429350056,0.043478260869565216,0.21739130434782608,0.013493253373313344,temporal_holdout
graph_vs_temporal,cumulative_decision_gap_3_ms,23,1.9622823946408388,0.0,0.32815407640811084,3.588878611605681,2.0,0.07473549830588248,0.37367749152941243,0.3872660429350056,0.043478260869565216,0.21739130434782608,0.013493253373313344,temporal_holdout
graph_vs_temporal,realized_cumulative_latency_5_ms,19,2.770321246058737,0.0,0.20478551019232027,6.037772508912456,2.0,0.13801073756865956,0.5520429502746382,0.38051820403514675,0.05263157894736842,0.21052631578947367,0.03648175912043978,temporal_holdout
graph_vs_temporal,cumulative_decision_gap_5_ms,19,2.770321246058737,0.0,0.20478551019232027,6.037772508912456,2.0,0.13801073756865956,0.5520429502746382,0.38051820403514675,0.05263157894736842,0.21052631578947367,0.03648175912043978,temporal_holdout
operational_vs_temporal,realized_next_latency_ms,119,0.054423211205252064,0.0,-0.8489348866425659,0.8711484930927023,158.0,0.9036267967285596,1.0,0.011312930656007622,0.1092436974789916,0.10084033613445378,0.8985507246376812,site_holdout
operational_vs_temporal,decision_gap_ms,119,0.054423211205252064,0.0,-0.8489348866425659,0.8711484930927023,158.0,0.9036267967285596,1.0,0.011312930656007622,0.1092436974789916,0.10084033613445378,0.8985507246376812,site_holdout
operational_vs_temporal,success_under_budget,119,0.008403361344537815,0.0,-0.042226890756302156,0.07563025210084033,20.0,0.7388826803635273,1.0,0.030442171908704598,0.03361344537815126,0.04201680672268908,0.7816091954022989,site_holdout
operational_vs_temporal,realized_cumulative_latency_3_ms,114,0.04471773509338748,0.0,-2.0827647476888274,1.906124157293675,149.0,0.9772063994750985,1.0,0.004778661605192471,0.09649122807017543,0.11403508771929824,0.9620189905047476,site_holdout
operational_vs_temporal,cumulative_decision_gap_3_ms,114,0.04471773509338748,0.0,-2.0827647476888274,1.906124157293675,149.0,0.9772063994750985,1.0,0.004778661605192471,0.09649122807017543,0.11403508771929824,0.9620189905047476,site_holdout
