policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,scenario_name
predictive_simple_fusion_greedy,13,25.50666531193228,2.0909200096529053,0.38461538461538464,1.0,35.623273922287645,35.63712515489467,234.0674615384615,temporal_shift
predictive_consensus_greedy,13,25.364429735948963,1.9486844336695872,0.3076923076923077,1.0,35.623273922287645,35.63712515489467,237.42638461538462,temporal_shift
ensemble_uncertainty_selector,13,25.255891222820228,1.8401459205408524,0.3076923076923077,1.0,35.623273922287645,35.63712515489467,234.30161538461536,temporal_shift
disagreement_aware_selector,13,24.93330965490313,1.5175643526237497,0.3076923076923077,1.0,35.623273922287645,35.63712515489467,233.98723076923076,temporal_shift
random,60,24.666601667757302,4.134919403651691,0.05,1.0,29.429564403888808,34.646503465270975,302.62365000000005,site_holdout
best_historical_path,60,24.052610141124664,3.5209278770190555,0.06666666666666667,1.0,27.99400677444575,34.58710270296756,311.32435,site_holdout
highest_reply_availability,60,24.58573139507423,4.054049130968619,0.0,1.0,29.062148786146572,29.991176144904347,293.5833333333333,site_holdout
reactive_greedy,60,22.71911860245555,2.1874363383499413,0.11666666666666667,1.0,25.7123230432581,26.512059477682783,274.8847166666667,site_holdout
predictive_greedy,60,23.071521309233944,2.539839045128332,0.11666666666666667,1.0,26.783265147507873,28.314090084302734,267.7181,site_holdout
predictive_graph_greedy,60,24.544632769147885,4.012950505042272,0.016666666666666666,1.0,31.08327628880736,32.28617414489945,263.7604666666667,site_holdout
predictive_simple_fusion_greedy,60,22.9961088642327,2.4644266001270894,0.06666666666666667,1.0,27.460405090084265,28.987460123009345,263.3333,site_holdout
predictive_consensus_greedy,60,23.822513608606346,3.290831344500736,0.03333333333333333,1.0,29.55139965239329,30.770092618697124,260.20351666666664,site_holdout
ensemble_uncertainty_selector,60,22.80669773278529,2.2750154686796806,0.13333333333333333,1.0,27.036532606596865,27.77904659760341,270.2152666666667,site_holdout
disagreement_aware_selector,60,23.692447441442273,3.1607651773366623,0.05,1.0,29.419355047409194,30.770092618697124,263.02425,site_holdout
random,13,30.53541998808315,7.0971647759085625,0.23076923076923078,1.0,40.463792013515715,41.43560977139862,275.4103846153846,operational_mild
best_historical_path,13,32.77802021601504,9.339765003840457,0.23076923076923078,1.0,44.27708808861376,46.73616478267563,364.2979230769231,operational_mild
highest_reply_availability,13,34.83563947496263,11.397384262788053,0.23076923076923078,1.0,45.341639465430916,51.548770002388345,292.3494615384615,operational_mild
reactive_greedy,13,24.24884403641395,0.8105888242393667,0.46153846153846156,1.0,35.623273922287645,35.63712515489467,277.94207692307697,operational_mild
predictive_greedy,13,30.26302250308257,6.824767290907982,0.3076923076923077,1.0,40.21951574671536,40.2835111281158,262.8266923076923,operational_mild
predictive_graph_greedy,13,25.74117667298116,2.302921460806572,0.3076923076923077,1.0,35.623273922287645,35.63712515489467,254.97430769230772,operational_mild
predictive_simple_fusion_greedy,13,26.706997830407488,3.268742618232904,0.38461538461538464,1.0,37.17211190447315,39.474592028840874,251.1248461538462,operational_mild
predictive_consensus_greedy,13,26.813164672831853,3.3749094606572716,0.3076923076923077,1.0,37.17211190447315,39.474592028840874,254.04799999999997,operational_mild
ensemble_uncertainty_selector,13,25.43025693254318,1.9920017203685971,0.46153846153846156,1.0,35.623273922287645,35.63712515489467,250.91000000000003,operational_mild
disagreement_aware_selector,13,25.18266754038472,1.7444123282101343,0.46153846153846156,1.0,35.623273922287645,35.63712515489467,250.54823076923077,operational_mild
random,13,46.45117737011635,15.473241972296414,0.3076923076923077,0.7692307692307693,70.2190994936907,70.23722819502129,259.05761538461536,operational_moderate
best_historical_path,13,43.64598366443353,12.668048266613594,0.23076923076923078,0.7692307692307693,70.2190994936907,70.23722819502129,288.27576923076924,operational_moderate
highest_reply_availability,13,42.393882126783005,11.415946728963089,0.23076923076923078,0.8461538461538461,70.2190994936907,70.23722819502129,248.25638461538458,operational_moderate
reactive_greedy,13,32.276792212960125,1.2988568151402005,0.38461538461538464,0.8461538461538461,70.2190994936907,70.23722819502129,284.0897692307692,operational_moderate
predictive_greedy,13,53.33346305499639,22.355527657176463,0.3076923076923077,0.8461538461538461,70.2190994936907,70.23722819502129,275.8268461538462,operational_moderate
predictive_graph_greedy,13,42.953579023004494,11.97564362518457,0.23076923076923078,0.6923076923076923,73.55278294930352,78.5261150807269,253.41346153846155,operational_moderate
predictive_simple_fusion_greedy,13,51.281309408008724,20.3033740101888,0.3076923076923077,0.8461538461538461,70.2190994936907,70.23722819502129,275.24676923076925,operational_moderate
predictive_consensus_greedy,13,44.15311857589081,13.17518317807088,0.3076923076923077,0.8461538461538461,70.2190994936907,70.23722819502129,262.91369230769226,operational_moderate
ensemble_uncertainty_selector,13,32.365072710220986,1.3871373124010573,0.38461538461538464,0.8461538461538461,70.2190994936907,70.23722819502129,288.96807692307686,operational_moderate
disagreement_aware_selector,13,35.462031583613154,4.484096185793228,0.3076923076923077,0.8461538461538461,70.2190994936907,70.23722819502129,249.58338461538463,operational_moderate
random,13,62.88007988705667,27.304357313263075,0.23076923076923078,0.3076923076923077,86.57286432328928,89.3494672038844,292.7146153846154,operational_severe
best_historical_path,13,64.33998367399754,28.76426110020394,0.23076923076923078,0.3076923076923077,87.21516803931048,89.3494672038844,271.1057692307692,operational_severe
highest_reply_availability,13,48.59140709878596,13.01568452499237,0.23076923076923078,0.7692307692307693,86.57286432328928,89.3494672038844,255.54492307692306,operational_severe
reactive_greedy,13,36.70542970817108,1.1297071343774936,0.46153846153846156,0.7692307692307693,86.57286432328928,89.3494672038844,270.2019230769231,operational_severe
predictive_greedy,13,73.20766447298557,37.631941899191986,0.23076923076923078,0.0,86.57286432328928,89.3494672038844,256.97107692307696,operational_severe
predictive_graph_greedy,13,59.19389854703597,23.61817597324237,0.3076923076923077,0.38461538461538464,86.57286432328928,89.3494672038844,251.95207692307687,operational_severe
predictive_simple_fusion_greedy,13,73.30292158807244,37.72719901427884,0.23076923076923078,0.0,86.57286432328928,89.3494672038844,247.76923076923077,operational_severe
predictive_consensus_greedy,13,70.68259367695504,35.10687110316144,0.3076923076923077,0.07692307692307693,86.57286432328928,89.3494672038844,255.28846153846155,operational_severe
ensemble_uncertainty_selector,13,37.37184886063224,1.7961262868386523,0.46153846153846156,0.7692307692307693,86.57286432328928,89.3494672038844,250.41976923076922,operational_severe
disagreement_aware_selector,13,49.28473738862912,13.709014814835514,0.3076923076923077,0.5384615384615384,86.57286432328928,89.3494672038844,250.6249230769231,operational_severe
